kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
N49,A730503,40214,STRAY,OTC,2023-01-17 00:00:00,STRAY,ADOPTION,REFERRAL,2023-01-20 00:00:00,CAT,N,N,MED,BLACK / WHITE,DOMESTIC SH,40214,20566
FOUND,A722853,,FOUND,WEB,2022-09-01 00:00:00,,,,,DOG,M,,SMALL,WHITE,CHIHUAHUA SH,,20567
TNR/SNR,A722947,40211,STRAY,OTC,2022-09-03 00:00:00,STRAY,SNR,,2022-09-14 00:00:00,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,40219,20568
LOST,A722992,,LOST,WEB,2022-08-26 00:00:00,,,,,DOG,M,,SMALL,BROWN,YORKSHIRE TERR,,20569
FOUND,A722999,,FOUND,WEB,2022-09-04 00:00:00,,,,,DOG,M,,SMALL,BROWN,YORKSHIRE TERR,,20570
LOST,A728635,,LOST,WEB,2022-12-06 00:00:00,,,,,DOG,F,,MED,UNKNOWN,JACK RUSS TERR,,20571
LOST,A728456,,LOST,WEB,2022-11-10 00:00:00,,,,,CAT,F,,SMALL,BROWN,EUROPEAN SH,,20572
NP,A723206,40223,FOSTER,RETURN,2023-04-12 00:00:00,FOSTER RET,ADOPTION,FOSTER,2023-04-12 00:00:00,DOG,S,N,MED,WHITE / BLACK,POINTER / LABRADOR RETR,40223,20573
K102B,A713303,40229,CONFISCATE,HOSPITAL,2022-04-27 00:00:00,STRAY,RTO,IN KENNEL,2022-04-30 00:00:00,DOG,N,N,SMALL,TAN / WHITE,MALTESE,40218,20574
LOST,A728653,,LOST,WEB,2022-12-09 00:00:00,,,,,CAT,F,,MED,BLACK,AMER SH,,20575
LOST,A728548,,LOST,WEB,2022-08-30 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC SH,,20576
DW07,A720979,40228,STRAY,OTC,2022-08-08 00:00:00,STRAY,FOSTER,STRAY,2022-08-13 00:00:00,DOG,S,N,SMALL,WHITE / BROWN,RAT TERRIER / MIX,40291,20577
N35,A728676,40222,STRAY,OTC,2022-12-12 00:00:00,STRAY,ADOPTION,INTERNET,2022-12-21 00:00:00,DOG,S,N,LARGE,BLACK / TAN,GERM SHEPHERD,40242,20578
ID02,A723256,40214,STRAY,OTC,2022-09-10 00:00:00,STRAY,TRANSFER,KHS,2022-09-23 00:00:00,DOG,S,N,MED,BLACK,LABRADOR RETR,40214,20579
608,A728700,OUT OF COUNTY,FOSTER,RETURN,2023-09-09 00:00:00,FOSTER RET,ADOPTION,FOSTER,2023-09-09 00:00:00,DOG,S,N,MED,TAN,PIT BULL / MIX,47119,20580
FOUND,A713346,,FOUND,WEB,2022-03-15 00:00:00,,,,,CAT,F,,SMALL,BROWN / BLACK,DOMESTIC MH,,20581
FOLLOWUP,A720982,40219,STRAY,OTC,2022-08-08 00:00:00,STRAY,SNR,,2022-08-10 00:00:00,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,40229,20582
K205B,A728678,40216,STRAY,OTC,2022-12-12 00:00:00,STRAY,FOSTER,TIME/SPACE,2022-12-16 00:00:00,DOG,N,N,PUPPY,BLACK / WHITE,PIT BULL,40216,20583
ID06,A723306,40228,STRAY,OTC,2022-09-12 00:00:00,STRAY,RTO,IN KENNEL,2022-09-13 00:00:00,DOG,M,N,LARGE,BROWN / BLACK,GERM SHEPHERD,40228,20584
LOST,A728721,,LOST,WEB,2022-12-12 00:00:00,,,,,DOG,F,,LARGE,BROWN,BOXER,,20585
TNR/SNR,A713386,40211,STRAY,OTC,2022-03-29 00:00:00,STRAY,SNR,,2022-03-31 00:00:00,CAT,U,N,LARGE,ORG TABBY,DOMESTIC SH,40219,20586
NF2,A721084,40218,STRAY,OTC,2022-08-10 00:00:00,STRAY,ADOPTION,WALK IN,2022-08-17 00:00:00,CAT,S,N,KITTN,GRAY,DOMESTIC SH,40218,20587
N39,A728737,40208,STRAY,OTC,2022-12-13 00:00:00,STRAY,ADOPTION,WALK IN,2023-02-24 00:00:00,CAT,N,N,LARGE,BRN TABBY,DOMESTIC SH,40229,20588
N08,A735849,40203,STRAY,OTC,2023-04-07 00:00:00,STRAY,ADOPTION,WALK IN,2023-05-06 00:00:00,DOG,N,N,LARGE,WHITE / BROWN,PIT BULL,40203,20589
601,A728735,40272,OWNER SUR,EUTH REQ,2022-12-13 00:00:00,AGG PEOPLE,EUTH,REQUESTED,2022-12-27 00:00:00,DOG,F,Y,LARGE,BLACK / WHITE,ALASKAN HUSKY,40272,20590
TNR/SNR,A713388,40211,STRAY,OTC,2022-03-29 00:00:00,STRAY,SNR,,2022-03-31 00:00:00,CAT,U,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40219,20591
NP,A721436,40216,STRAY,FIELD,2022-08-17 00:00:00,STRAY,ADOPTION,WALK IN,2022-09-17 00:00:00,DOG,N,N,MED,WHITE / CREAM,LABRADOR RETR / MIX,40218,20592
FOSTER,A729659,40218,FOSTER,RETURN,2023-02-27 00:00:00,FOSTER RET,ADOPTION,FOSTER,2023-02-27 00:00:00,DOG,N,N,MED,BR BRINDLE,AMER BULLDOG / MIX,40214,20593
FOUND,A720150,,FOUND,WEB,2022-07-24 00:00:00,,,,,DOG,M,,SMALL,BLACK,CHIHUAHUA LH,,20594
N40,A713409,40272,FOSTER,RETURN,2022-04-19 00:00:00,FOSTER RET,ADOPTION,INTERNET,2022-04-20 00:00:00,CAT,S,N,KITTN,CALICO,DOMESTIC MH,40245,20595
K206B,A721446,40216,STRAY,FIELD,2022-08-17 00:00:00,STRAY,TRANSFER,KHS,2022-08-22 00:00:00,DOG,F,N,PUPPY,BR BRINDLE / WHITE,PIT BULL / BOXER,40216,20596
TNR/SNR,A728746,40216,STRAY,OTC,2022-12-13 00:00:00,STRAY,SNR,,2022-12-15 00:00:00,CAT,S,N,MED,BLACK,DOMESTIC SH,40219,20597
BARN,A729708,40219,STRAY,OTC,2023-01-03 00:00:00,STRAY,FOSTER,,2023-01-07 00:00:00,RABBIT,F,N,LARGE,WHITE,NEW ZEALAND WHT,40219,20598
